S.No.,Test Suite/Test Case,Estimated Time (in Days)
2.1.0,"Client Connectivity with Open, WPA2, with different OS types Windows, Linux, MAC, iOS",2
2.2.0,"Ping Test with different OS types Windows, Linux, MAC, iOS",1
2.3.0,FTP with different size and different OS,2
2.4.0,Video Browsing using Dash/Progressive/HLS Media,1.5
2.5.0,Web Browsing - Online & Offline Method,1
2.6.0,Multi Cast Traffic,1.5
2.7.0,QoS,2
2.8.0,RvR,3
2.9.0,Band Steering,2
2.10.0,Roaming with different topologies,3
2.11.0,"Mixed Traffic (QOS, FTP, HTTP, PING, MULTICAST)",2
2.12.0,"High Stress with different load, protocols for 8 Hours",2
